name_prefix,name_suffix,vert,gp,gpl,gpr,court_up,court_down,fab_up,fab_down,datasheet
1411,13002XXX,False,True,-0.2,0.4,-3.5,4.1,0.3,0.3,https://b2b.harting.com/files/download/PRD/PDF_TS/1411XX13002XXX_100228421DRW035C.pdf?showPrivacyEmailAgreement=false&contextURL=https%3A%2F%2Fb2b.harting.com%2Febusiness%2Fen_us&maintenanceAnnouncement=%7B+%7D&autoLogoutEnabled=true&autoLogoutTime=1800&siteName=Ebusiness+Site
1411,13001XXX,True,True,0,0.6,-3.3,3.75,0.8,0.35,https://b2b.harting.com/files/download/PRD/PDF_TS/1411XX13001XXX_100228421DRW046C.pdf?showPrivacyEmailAgreement=false&contextURL=https%3A%2F%2Fb2b.harting.com%2Febusiness%2Fen_us&maintenanceAnnouncement=%7B+%7D&autoLogoutEnabled=true&autoLogoutTime=1800&siteName=Ebusiness+Site
1411,13010XXX,False,False,,,-3.5,4.1,0.3,0.3,https://b2b.harting.com/files/download/PRD/PDF_TS/1411XX13002XXX_100228421DRW035C.pdf?showPrivacyEmailAgreement=false&contextURL=https%3A%2F%2Fb2b.harting.com%2Febusiness%2Fen_us&maintenanceAnnouncement=%7B+%7D&autoLogoutEnabled=true&autoLogoutTime=1800&siteName=Ebusiness+Site
