PartNumber,lengthY,widthX,height,padX,padY,padInsideX,landingX,landingY,landingSpacingX,datasheet
MSS7348-XXX,7.0,7.0,4.5,1.25,2,4.5,1.6,2.2,5.2,"https://www.coilcraft.com/getmedia/018a2bda-2036-409a-8b19-945e531c18b5/MSS7348.pdf"
MSS1812T-XXX,18.3,18.3,12.0,4.3,7.0,9.6,5.2,7.5,8.4,"https://www.coilcraft.com/getmedia/148807de-bc83-43dc-9fce-d4df334864cd/mss1812t.pdf"
