PartNumber,widthX,lengthY,height,landingOutsideX,landingInsideX,landingY,padOutsideX,padInsideX,padY,topFilletRadius,datasheet
DEM3512C,3.9,3.7,1.2,4.3,2.3,1.4,3.9,2.5,1.4,0,https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundferritetypeforpl/m_dem3512c.ashx
DEM3518C,3.9,3.7,1.8,4.3,2.3,1.4,3.9,2.3,1.4,0,https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundferritetypeforpl/m_dem3518c.ashx
